,geometry,EV_stations_counts,EV_stations_geomery,population,landuse,nodes,edges,density,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,commercial_count,government_count,civic_count,retail_count,oneway_exists,highway_types,average_lanes,average_maxspeed,city
651,"POLYGON ((-78378.06048351806 5016450.601487386, -78414.85603051563 5015956.805261041, -78914.10866547364 5015994.006093592, -78877.31264281564 5016487.805156214, -78378.06048351806 5016450.601487386))",0,[],18.606697512820517,Other,39,65,0.043859649122807,1,0,7,0,0,0,2,0,1,2,0,0,1,Yes,"{'residential', 'secondary'}",1.8333333333333333,37.5,Turin
652,"POLYGON ((-78414.85603051563 5015956.805261041, -78451.64877210837 5015463.00856435, -78950.90188272519 5015500.206560388, -78914.10866547364 5015994.006093592, -78414.85603051563 5015956.805261041))",0,[],11.764139801242235,Other,31,64,0.0688172043010752,0,0,4,0,0,0,2,0,2,8,0,0,2,Yes,"{'tertiary', 'residential'}",1.5853658536585369,43.95348837209303,Turin
653,"POLYGON ((-78451.64877210837 5015463.00856435, -78488.43870806682 5014969.2113973135, -78987.69229434012 5015006.406556608, -78950.90188272519 5015500.206560388, -78451.64877210837 5015463.00856435))",1,[[<POINT (7.649 45.053)>]],21.133356386861315,Other,56,82,0.0266233766233766,0,0,1,0,0,0,3,0,1,0,0,0,2,Yes,"{'tertiary', 'residential'}",1.608695652173913,45.5072463768116,Turin
654,"POLYGON ((-78488.43870806682 5014969.2113973135, -78525.22583816107 5014475.413759934, -79024.47990008944 5014512.606082254, -78987.69229434012 5015006.406556608, -78488.43870806682 5014969.2113973135))",0,[],11.376786703703704,residential,27,59,0.084045584045584,0,0,4,0,0,0,0,0,0,1,5,0,1,Yes,"{'tertiary', 'residential', 'secondary', 'unclassified'}",2.227272727272727,49.11764705882353,Turin
655,"POLYGON ((-78525.22583816107 5014475.413759934, -78562.01016216201 5013981.615652214, -79061.2646997436 5014018.805137324, -79024.47990008944 5014512.606082254, -78525.22583816107 5014475.413759934))",0,[],8.622171964071855,Other,16,26,0.1083333333333333,0,0,1,1,0,0,1,0,0,0,0,0,1,Yes,"{'tertiary', 'residential', 'secondary'}",1.5128205128205128,50.0,Turin
656,"POLYGON ((-78562.01016216201 5013981.615652214, -78598.7916798403 5013487.817074155, -79098.04669307289 5013525.003721826, -79061.2646997436 5014018.805137324, -78562.01016216201 5013981.615652214))",0,[],1.1031162083333332,Other,20,35,0.0921052631578947,0,0,1,0,0,0,9,1,1,0,0,0,0,Yes,"{'residential', 'secondary'}",2.8076923076923075,48.57142857142857,Turin
657,"POLYGON ((-78598.7916798403 5013487.817074155, -78635.57039096602 5012994.018025758, -79134.82587984798 5013031.201835756, -79098.04669307289 5013525.003721826, -78598.7916798403 5013487.817074155))",0,[],14.825626174825173,Other,27,64,0.0911680911680911,1,0,3,1,0,0,4,1,0,3,0,0,0,Yes,"{'tertiary', 'residential', 'secondary'}",2.7058823529411766,49.42857142857143,Turin
658,"POLYGON ((-78635.57039096602 5012994.018025758, -78672.34629530995 5012500.218507025, -79171.60225983919 5012537.399479121, -79134.82587984798 5013031.201835756, -78635.57039096602 5012994.018025758))",1,[[<POINT (7.651 45.033)>]],14.738625027777776,Other,42,89,0.0516840882694541,0,0,0,0,0,0,1,0,1,0,0,0,5,Yes,"{'primary', 'tertiary', 'residential'}",3.15,50.0,Turin
659,"POLYGON ((-78672.34629530995 5012500.218507025, -78709.11939264287 5012006.418517961, -79208.37583281763 5012043.596651919, -79171.60225983919 5012537.399479121, -78672.34629530995 5012500.218507025))",1,[[<POINT (7.65 45.028)>]],3.2126413098591557,Other,9,16,0.2222222222222222,2,0,0,0,0,0,2,1,0,0,0,0,1,Yes,{'tertiary'},5.2,50.0,Turin
660,"POLYGON ((-78709.11939264287 5012006.418517961, -78745.88968273508 5011512.618058563, -79245.14659855317 5011549.793354155, -79208.37583281763 5012043.596651919, -78709.11939264287 5012006.418517961))",0,[],10.041379950570343,Other,21,38,0.0904761904761904,0,0,2,0,0,0,3,0,0,3,0,0,4,Yes,"{'tertiary', 'residential', 'secondary'}",4.571428571428571,50.0,Turin
661,"POLYGON ((-78745.88968273508 5011512.618058563, -78782.65716535726 5011018.817128836, -79281.91455681692 5011055.989585828, -79245.14659855317 5011549.793354155, -78745.88968273508 5011512.618058563))",0,[],9.06649062973761,Other,18,36,0.1176470588235294,0,0,2,1,0,0,2,0,1,5,0,0,3,Yes,"{'tertiary', 'residential', 'secondary'}",3.081081081081081,45.36585365853659,Turin
662,"POLYGON ((-78782.65716535726 5011018.817128836, -78819.4218402803 5010525.015728781, -79318.67970737955 5010562.1853469405, -79281.91455681692 5011055.989585828, -78782.65716535726 5011018.817128836))",0,[],11.532600894557822,Other,28,70,0.0925925925925925,2,0,2,1,0,0,2,1,0,1,0,0,0,Yes,{'tertiary'},1.6470588235294117,40.0,Turin
663,"POLYGON ((-78819.4218402803 5010525.015728781, -78850.44442419382 5010108.308996248, -78854.05214783177 5010111.890015856, -78861.31682484236 5010122.498652617, -78866.82205877965 5010130.617121976, -78877.03490687185 5010137.910304319, -78881.88970900874 5010141.309945556, -78886.56224730937 5010144.704174661, -78892.71575333644 5010149.63353857, -78916.03393623547 5010153.148505078, -78926.00748531951 5010152.433758747, -78937.52115444816 5010155.21971266, -78951.02097707638 5010153.303220382, -79008.22954251443 5010173.965964269, -79011.64464798791 5010185.3102615485, -79013.32358578697 5010194.345665795, -79013.47254599689 5010205.694537713, -79013.48211328732 5010215.260959613, -79013.48659414577 5010223.314799488, -79013.50861762895 5010229.869321727, -79013.5822293366 5010239.430384305, -79013.89019194443 5010246.683036273, -79020.69626533054 5010258.48220691, -79026.34773055604 5010266.300585008, -79036.21975912084 5010271.838074876, -79049.74294484255 5010270.360791605, -79065.66597184772 5010262.695499089, -79078.03182747331 5010257.965263412, -79087.99312543357 5010256.600022154, -79103.31980421359 5010254.951308498, -79112.76454930461 5010247.837724954, -79123.60963418207 5010239.048533571, -79129.08132446639 5010234.899245416, -79143.04894800845 5010223.673074138, -79150.45966132334 5010217.95332517, -79154.68281362928 5010214.687047497, -79162.2125292737 5010209.84063463, -79171.50945335941 5010205.133030374, -79202.99767961586 5010189.378292721, -79226.02662808227 5010177.511551624, -79285.16210516845 5010192.203398092, -79288.12621905282 5010192.025797024, -79346.49555923603 5010188.556562682, -79318.67970737955 5010562.1853469405, -78819.4218402803 5010525.015728781))",1,[[<POINT (7.652 45.009)>]],5.890543608695653,Other,23,35,0.0691699604743083,3,0,0,0,0,0,4,0,0,0,0,0,0,Yes,"{'tertiary', 'residential', 'tertiary_link'}",1.761904761904762,32.72727272727273,Turin
664,"POLYGON ((-77981.26305585913 5021773.20374419, -77853.91330975539 5021786.521320466, -77795.41509629996 5021794.305717436, -77787.67243852327 5021868.497618698, -77473.88031347154 5021845.094562018, -77510.70622932608 5021351.306343326, -78009.95076677296 5021388.537881374, -77981.26305585913 5021773.20374419))",0,[],9.420648097959184,Other,30,65,0.0747126436781609,1,0,1,0,0,0,3,0,0,0,0,0,0,Yes,{'residential'},1.9090909090909087,30.0,Turin
665,"POLYGON ((-77787.67243852327 5021868.497618698, -77772.21866732708 5022016.577312002, -77761.91302867711 5022025.817759538, -77783.25716738461 5022058.70456986, -77801.31051057624 5022086.720869726, -77841.46347062476 5022148.634275264, -77848.55769251788 5022160.483420987, -77872.80939440185 5022200.771413326, -77870.28434663836 5022286.396971235, -77867.80373539147 5022367.019725228, -77867.49434688443 5022370.987835045, -77437.05159496889 5022338.882310571, -77473.88031347154 5021845.094562018, -77787.67243852327 5021868.497618698))",0,[],8.427774527173915,Other,12,20,0.1515151515151515,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Turin
666,"POLYGON ((-77867.49434688443 5022370.987835045, -77867.01895802328 5022377.085003315, -77866.51150040154 5022384.028114648, -77863.92994795414 5022432.248132641, -77856.01430617028 5022587.107977297, -77854.15627176361 5022652.923822365, -77853.066545623 5022689.586232319, -77849.67841765855 5022734.3050445095, -77840.3970666579 5022860.791018041, -77840.05363263609 5022865.4780771015, -77400.22007404803 5022832.66958899, -77437.05159496889 5022338.882310571, -77867.49434688443 5022370.987835045))",0,[],9.214383890625,industrial,19,36,0.1052631578947368,0,0,0,1,0,0,0,0,0,0,0,0,1,No,,,,Turin
667,"POLYGON ((-77840.05363263609 5022865.4780771015, -77838.08575042267 5022892.334930183, -77836.26241675264 5022966.790032058, -77752.3579862268 5023029.096893314, -77746.45677306503 5023035.18877263, -77740.70168287924 5023041.76445063, -77705.68677241646 5023087.390923636, -77700.86580718413 5023093.637523546, -77698.69860797992 5023096.441417684, -77692.09757847362 5023104.900024115, -77677.78724055621 5023123.272948443, -77661.63196446863 5023145.610538036, -77657.30701861717 5023150.681554754, -77617.09208059695 5023202.4642883735, -77512.15904332837 5023337.554669488, -77363.38575093879 5023326.456397268, -77400.22007404803 5022832.66958899, -77840.05363263609 5022865.4780771015))",0,[],2.971664981132076,residential,5,6,0.3,0,0,0,0,0,0,0,0,0,0,0,0,0,No,,,,Turin
