,location,gpsLat,gpsLong,polygon,EV_station_counts,population,school_count,university_count,restaurant_count,place_of_worship_count,community_centre_count,townhall_count,parking_count,library_count,park_count,cinema_count,commercial_count,government_count,civic_count,retail_count,landuse,oneway_exists,average_lanes,high_way,average_maxspeed,nodes,edges,density
43,Location 44,44.728472,7.326139,"POLYGON ((7.322977935297821 44.7262110706676, 7.322977935297821 44.73073292933239, 7.3293000647021795 44.73073292933239, 7.3293000647021795 44.7262110706676, 7.322977935297821 44.7262110706676))",1,2.1507259933333334,0,0,0,2,0,0,5,0,1,0,0,0,0,0,residential,yes,,residential,50.0,55,110,0.037037037037037035
44,Location 45,44.528111,8.050278,"POLYGON ((8.04712782811725 44.52585007066761, 8.04712782811725 44.5303719293324, 8.053428171882752 44.5303719293324, 8.053428171882752 44.52585007066761, 8.04712782811725 44.52585007066761))",1,0.8978364394904458,1,0,3,0,0,0,1,0,0,0,0,0,0,0,commercial,yes,,residential,,24,48,0.08695652173913043
45,Location 46,44.4833333333333,11.4166666666667,"POLYGON ((11.413518913655665 44.481072404000905, 11.413518913655665 44.48559426266569, 11.419814419677735 44.48559426266569, 11.419814419677735 44.481072404000905, 11.413518913655665 44.481072404000905))",1,0.8319709090909091,0,0,0,0,0,0,1,0,0,0,0,0,0,0,residential,yes,2,motorway,73.33333333333333,2,1,0.5
46,Location 47,45.4867888888889,9.26396388888889,"POLYGON ((9.260760548182812 45.48452795955651, 9.260760548182812 45.4890498182213, 9.267167229594968 45.4890498182213, 9.267167229594968 45.48452795955651, 9.260760548182812 45.48452795955651))",1,3.3315526136363633,0,0,0,0,0,0,6,0,2,0,0,0,0,3,residential,yes,1,service,51.851851851851855,22,29,0.06277056277056277
47,Location 48,45.7284916666667,8.49771111111111,"POLYGON ((8.494493937549839 45.726230737334305, 8.494493937549839 45.73075259599909, 8.500928284672382 45.73075259599909, 8.500928284672382 45.726230737334305, 8.494493937549839 45.726230737334305))",1,0.07310412000000001,0,0,1,0,0,0,1,0,0,0,2,0,0,0,commercial,no,2,service,70.0,0,0,0.0
48,Location 49,45.2448666666667,11.7594138888889,"POLYGON ((11.75622421839481 45.24260573733431, 11.75622421839481 45.247127595999096, 11.762603559382992 45.247127595999096, 11.762603559382992 45.24260573733431, 11.75622421839481 45.24260573733431))",1,0.774884954887218,0,0,0,1,0,0,0,0,0,0,0,0,0,0,other,yes,1,unclassified,,9,17,0.2361111111111111
49,Location 50,45.5040444444445,12.2354722222222,"POLYGON ((12.232267899798122 45.50178351511211, 12.232267899798122 45.5063053737769, 12.238676544646276 45.5063053737769, 12.238676544646276 45.50178351511211, 12.232267899798122 45.50178351511211))",1,2.517266858490566,0,0,2,0,0,0,8,0,0,0,1,0,0,0,Other,yes,1,service,65.0,46,85,0.04106280193236715
50,Location 51,45.5666666666667,10.0,"POLYGON ((9.996792107312213 45.564405737334305, 9.996792107312213 45.56892759599909, 10.003207892687787 45.56892759599909, 10.003207892687787 45.564405737334305, 9.996792107312213 45.564405737334305))",1,3.992501276712329,0,0,2,2,0,1,11,1,1,0,0,0,0,1,Other,yes,2,residential,50.0,71,132,0.026559356136820925
51,Location 52,44.7066805555556,10.6385305555555,"POLYGON ((10.635370681090377 44.704419626223206, 10.635370681090377 44.708941484887994, 10.641690430020622 44.708941484887994, 10.641690430020622 44.704419626223206, 10.635370681090377 44.704419626223206))",1,2.6345139244604314,0,0,3,1,0,0,14,0,0,0,0,0,0,1,residential,yes,2,service,47.43589743589744,35,59,0.04957983193277311
52,Location 53,45.4090861111111,11.9185305555556,"POLYGON ((11.915331624548829 45.40682518177871, 11.915331624548829 45.411347040443495, 11.921729486562372 45.411347040443495, 11.921729486562372 45.40682518177871, 11.915331624548829 45.40682518177871))",1,0.3173011856287425,0,0,1,0,0,0,2,0,0,0,0,0,0,0,residential,yes,2,service,,26,38,0.05846153846153846
53,Location 54,44.7087972222222,10.6251972222222,"POLYGON ((10.622037232205221 44.70653629288981, 10.622037232205221 44.711058151554596, 10.628357212239179 44.711058151554596, 10.628357212239179 44.70653629288981, 10.622037232205221 44.70653629288981))",1,2.5542826445182722,3,0,3,0,1,0,42,0,5,0,1,0,0,0,commercial,yes,2,service,50.0,44,75,0.03964059196617336
54,Location 55,44.8184638888889,10.2866805555556,"POLYGON ((10.283514561175833 44.816202959556506, 10.283514561175833 44.820724818221294, 10.289846549935367 44.820724818221294, 10.289846549935367 44.816202959556506, 10.283514561175833 44.816202959556506))",1,3.587091142857143,0,0,0,0,0,0,5,0,2,0,0,0,0,0,residential,yes,2,service,80.0,7,9,0.21428571428571427
55,Location 56,45.3973611111111,11.9697333333333,"POLYGON ((11.966535066165884 45.39510018177871, 11.966535066165884 45.3996220404435, 11.972931600500717 45.3996220404435, 11.972931600500717 45.39510018177871, 11.966535066165884 45.39510018177871))",1,2.0129775744680853,0,0,0,0,0,0,0,0,0,0,0,0,0,0,residential,no,2,residential,,8,14,0.25
56,Location 57,45.51005,11.4534305555555,"POLYGON ((11.450225891248792 45.507789070667606, 11.450225891248792 45.51231092933239, 11.456635219862207 45.51231092933239, 11.456635219862207 45.507789070667606, 11.450225891248792 45.507789070667606))",1,3.1268733267326736,0,0,0,0,0,0,5,0,0,0,0,0,0,0,residential,yes,2,footway,50.0,7,12,0.2857142857142857
57,Location 58,44.7287277777778,10.6511638888889,"POLYGON ((10.648002810208236 44.726466848445405, 10.648002810208236 44.73098870711019, 10.654324967569565 44.73098870711019, 10.654324967569565 44.726466848445405, 10.648002810208236 44.726466848445405))",1,0.6435337822580645,0,0,1,0,0,0,11,0,0,0,0,0,0,0,commercial,yes,1,service,50.0,32,58,0.05846774193548387
58,Location 59,44.3261888888889,11.9070833333333,"POLYGON ((11.903944024747151 44.32392795955651, 11.903944024747151 44.328449818221294, 11.91022264191945 44.328449818221294, 11.91022264191945 44.32392795955651, 11.903944024747151 44.32392795955651))",1,0.24665316129032258,0,0,0,0,0,0,3,0,2,0,0,0,0,0,commercial,yes,2,service,77.5,15,22,0.10476190476190476
59,Location 60,45.5030277777778,12.2354111111111,"POLYGON ((12.232206846552842 45.50076684844541, 12.232206846552842 45.505288707110196, 12.238615375669358 45.505288707110196, 12.238615375669358 45.50076684844541, 12.232206846552842 45.50076684844541))",1,2.1584395686274513,0,0,2,0,0,0,9,0,0,0,1,0,0,0,Other,yes,1,service,60.0,47,77,0.035615171137835334
60,Location 61,45.4240961,11.9266731,"POLYGON ((11.92347331856832 45.421835170667606, 11.92347331856832 45.426357029332394, 11.929872881431681 45.426357029332394, 11.929872881431681 45.421835170667606, 11.92347331856832 45.421835170667606))",1,0.7475284999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,residential,yes,3,trunk_link,86.29629629629629,6,10,0.3333333333333333
61,Location 62,45.4833333333333,12.1166666666667,"POLYGON ((12.113463522449878 45.481072404000905, 12.113463522449878 45.48559426266569, 12.11986981088352 45.48559426266569, 12.11986981088352 45.481072404000905, 12.113463522449878 45.481072404000905))",1,0.49186990425531907,0,0,0,0,0,0,0,0,1,0,0,0,0,0,residential,yes,1,secondary,35.0,9,12,0.16666666666666666
